Date,TMax,TMin,Prcp
1950-09-12,77.9930557,34.9010545,0.0000000
1950-09-13,75.8150539,39.6170545,0.0000000
1950-09-14,73.7630550,36.8450546,0.0000000
1950-09-15,69.7130550,44.8010547,0.0191740
1950-09-16,68.1470535,41.8490541,0.0000000
1950-09-17,59.8130550,41.7050542,0.2876093
1950-09-18,66.7790531,33.8390544,0.1917395
1950-09-19,70.7750553,37.8350545,0.0575219
1950-09-20,72.8270542,32.9570544,0.0000000
1950-09-21,77.6510547,32.8130544,0.0000000
1950-09-22,77.6510547,34.7570544,0.0000000
1950-09-23,77.7050559,35.7650545,0.0000000
1950-09-24,78.6410533,41.6870547,0.0000000
1950-09-25,67.7690551,46.6910542,0.0000000
1950-09-26,62.6930557,39.8690543,0.0000000
1950-09-27,67.6070548,33.6590544,0.0000000
1950-09-28,64.7450546,27.8450546,0.0000000
1950-09-29,51.8390544,28.7450546,0.0000000
1950-09-30,54.8090537,18.0710540,0.0000000
1950-10-01,59.7759528,14.9919525,0.0000000
1950-10-02,67.7319529,19.9239530,0.0042151
1950-10-03,58.7319529,35.9799531,0.2739828
1950-10-04,60.7839535,39.7239530,0.2394189
1950-10-05,53.8539528,40.6599530,0.2980090
1950-10-06,56.8239539,28.9599530,0.0000000
1950-10-07,75.5079523,47.7159531,0.0000000
1950-10-08,73.5099547,35.6739530,0.0000000
1950-10-09,63.7719515,32.6679530,0.0000000
1950-10-10,75.7059534,29.8959529,0.0000000
1950-10-11,81.7179537,32.9919530,0.0000000
1950-10-12,81.6639525,38.0139529,0.0000000
1950-10-13,77.8839518,31.9119530,0.0000000
1950-10-14,74.6619536,45.6999533,0.0000000
1950-10-15,63.5919543,28.9419530,0.0000000
1950-10-16,58.6599530,41.8479527,0.0042151
1950-10-17,55.7619536,39.6699530,0.1761920
1950-10-18,66.6879530,31.8219530,0.0370931
1950-10-19,71.5659514,26.9979531,0.0000000
1950-10-20,67.7679537,29.5539530,0.0000000
1950-10-21,69.0999533,33.7839531,0.0000000
1950-10-22,68.7039545,25.9899532,0.0000000
1950-10-23,65.6799540,24.9279534,0.0000000
1950-10-24,59.8299523,40.8039528,0.1087501
1950-10-25,51.7659531,42.5319529,0.3287794
1950-10-26,51.7479527,31.6599530,0.0210756
1950-10-27,44.7639533,33.6759531,0.5977041
1950-10-28,49.9659531,37.5999529,0.0210756
1950-10-29,55.6359524,44.6559534,0.0126454
1950-10-30,47.7159531,31.7679530,0.0252907
1950-10-31,40.6779534,25.6479531,0.6954949
1950-11-01,57.8068798,32.8588806,0.0496517
1950-11-02,63.8368805,33.4708806,0.0312767
1950-11-03,64.8448795,35.8288806,0.0000000
1950-11-04,67.6528820,31.9588806,0.0000000
1950-11-05,63.8728813,35.6488805,0.0000000
1950-11-06,55.0348798,29.0428806,0.0000000
1950-11-07,59.9128799,28.0348807,0.0000000
1950-11-08,57.9148805,32.0488806,0.0000000
1950-11-09,52.8388811,22.9768808,0.0000000
1950-11-10,47.9248802,14.1208807,0.0000000
1950-11-11,58.8508813,15.0568798,0.0000000
1950-11-12,47.9068798,32.9488806,0.0000000
1950-11-13,40.9768808,30.8068806,0.0312767
1950-11-14,37.8448808,23.9848807,0.1591202
1950-11-15,43.8388802,30.8068806,0.0039096
1950-11-16,39.0328805,30.9688806,0.3049477
1950-11-17,49.9228813,34.9288806,0.0000000
1950-11-18,50.8408800,38.6548804,0.0000000
1950-11-19,51.9748802,32.8588806,0.0312767
1950-11-20,54.7288814,30.4108806,0.0195479
1950-11-21,54.8548809,24.9568806,0.0000000
1950-11-22,53.7928806,18.0628799,0.0000000
1950-11-23,69.2188800,16.1728813,0.0000000
1950-11-24,67.6528820,24.9388802,0.0000000
1950-11-25,62.3968818,38.5288806,0.0000000
1950-11-26,60.5788814,33.8848806,0.0000000
1950-11-27,54.7108810,36.0268806,0.0000000
1950-11-28,47.8888811,21.1408808,0.0039096
1950-11-29,42.0568806,21.0508805,0.1008673
1950-11-30,48.7168811,32.9308806,0.1251068
